00000000,none,0.0,0,Genesis
8fc24e20d917480f32ddd05d6c257138a566ee7f26c473d21d0abd0735b4f118,00000000,2.4852087728708208,1,3
6291ed6b7431e98ca6bdc60e06da189f213b0e688745aedb873aee94f232409e,8fc24e20d917480f32ddd05d6c257138a566ee7f26c473d21d0abd0735b4f118,31.613968005994085,2,0
42094cfc31a00cfdb17453087a65bcbe02250c93c36de919058d3ab1b22b2f4c,6291ed6b7431e98ca6bdc60e06da189f213b0e688745aedb873aee94f232409e,42.82124906664305,3,1
d7731e250bad9486461ea19d86405580dedd23eece734b7aac40035e33428532,42094cfc31a00cfdb17453087a65bcbe02250c93c36de919058d3ab1b22b2f4c,71.95997389312696,4,2
00439b8a38aea34f9f9984423ee918ff0c68cb854467137cbabd4b12e434bc24,42094cfc31a00cfdb17453087a65bcbe02250c93c36de919058d3ab1b22b2f4c,75.04812566425754,4,4
50f9d33d9f93b9aad53eb7639f65f353eced955d124055280dd51e7d5188c84e,00439b8a38aea34f9f9984423ee918ff0c68cb854467137cbabd4b12e434bc24,83.32652018636792,5,4
b053666c65f99828a623abfced9b72e97a5de88d128ba77505c38a36068e033f,50f9d33d9f93b9aad53eb7639f65f353eced955d124055280dd51e7d5188c84e,91.21292831097512,6,0
